Project,Lead Organization,Contact Name,Contact Address,Description,Website,Tags
AfriMove,"Okavango Research Institute, University of Botswana",Emily Bennitt ,ebennitt at ub.ac.bw,"AfriMove is a collaborative database and network for GPS tracking data and associated information collected from animals in Africa, based on the EuroMammals framework. We aim to bring together people and data to allow large scale analyses and collaborations with conservation outcomes. ",https://euromammals.org/afrimove/,collaborative initiative
Animal-Borne Ocean Sensors (AniBOS),Global Ocean Observing System,,anibos.ocean at gmail.com,"Animal-Borne Ocean Sensors (AniBOS) is an emerging network of the Global Ocean Observing System (GOOS), providing oceanographic measurements collected through bio-logging. The goals of the project are to disseminate standardized, in situ physical and biogeochemical oceanographic data, and to improve understanding of animal responses to environmental variability and change through integration with GOOS. Read more in McMahon et al. (2021, https://doi.org/10.3389/fmars.2021.751840)",https://anibos.com,derived data product
Australia's IMOS Animal Tracking Facility,University of Tasmania,"Rob Harcourt, Emma Bowen","robert.harcourt at mq.edu.au, emma.bowen at sims.org.au","Australia's Integrated Marine Observing System (IMOS) Ocean Data Network includes data collections for Acoustic Telemetry, which uses a continental-scale array of strategically placed underwater acoustic receivers and a central data repository to monitor and track broad-scale movements of tagged animals, and Animal Tagging, which deploys satellite-relayed transmitters equipped with miniaturised oceanographic sensors on marine species (i.e. seals, and sea turtles ) to collect behavioural (movements, dive behaviour) and physical (depth, temperature and salinity) data.",https://imos.org.au/facility/animal-tracking,data platform
Biologging intelligent Platform,University of Tokyo,Katsufumi Sato,katsu at aori.u-tokyo.ac.jp,"Using a fund from ""Application of big data of marine life (program manager Tom Akamatsu)"" by the Ministry of Education, Culture, Sports, Science and Technology, Japan, we have established a new biologging data base ""Biologging intelligent Platform"". BiP can accept various parameters not only horizontal position, but also behavioral data such as diving depth, flight altitude, speed, and acceleration, as well as physiological data such as body temperature, along with related metadata. BiP standardizes the information to facilitate secondary data analysis. A unique feature of BiP is the Online Analytical Processing (OLAP) tools that calculate environmental parameters, such as surface currents, ocean winds, and waves from data collected by animals. To enhance data accessibility, BiP allows users to search for datasets using the DOI of the paper in which the data was used.",www.bip-earth.com/,data platform
Blue Corridors,,,https://bluecorridors.org/contact,"The Blue Corridors initiative is a global multidisciplinary collaboration that is integrating satellite telemetry data for whales and dolphins to map movements, identify threats, and develop conservation strategies.",https://bluecorridors.org,collaborative initiative
COVID-19 Bio-logging Initiative,International Bio-Logging Society,Federico Ossi,covid19.biologging.initiative at gmail.com,"In 2020, the International Bio-Logging Society, together with several partner organizations, launched the COVID-19 Bio-Logging Initiative, to investigate how wildlife responded to altered levels of human mobility during the COVID-19 pandemic. The goal of the Initiative is to use bio-logging data collected before, during, and after lockdowns to advance our understanding of human–wildlife interactions and inform global conservation efforts.",https://bio-logging.net/wg/covid19-biologging,collaborative initiative
Euromammals,Fondazione Edmund Mach,Francesca Cagnacci,francesca.cagnacci at fmach.it,EuroMammals is a 15 yrs old bottom-up collaborative project on spatial ecology of European terrestrial mammals. See euromammals.org,www.euromammals.org,data platform
European Tracking Network (ETN),Flanders Marine Institute (VLIZ),"Jan Reubes, Claudia Meneses","jan.reubes at vliz.be, claudia.meneses at vliz.be","The European Tracking Network is a pan-European network uniting researchers working (primarily) on acoustic telemetry, providing, e.g., a centralized database and working towards compatibility of research equipment and establishing data flows of open-access aquatic tracking data into Digital Twin of the Ocean initiatives.",https://europeantrackingnetwork.org,data platform
Global Biodiversity Information Facility (GBIF),GBIF Secretariat,Tim Robertson,trobertson at gbif.org,"GBIF is an international network and data infrastructure funded by the world's governments and aimed at providing free and open access to biodiversity data. GBIF accepts biologging data published in the Darwin Core standard, allowing it to be more widely discovered and used in combination with other species occurrence data.",https://www.gbif.org,data platform
Global Shark Movement Project,Marine Biological Association Laboratory,,https://www.globalsharkmovement.org/contact,"The Global Shark Movement Project is an international scientific research project bringing together shark research teams across countries and institutions. The project assembles shark tracking and environmental data and experts to advance scientific knowledge of shark behaviour, ecology, conservation and fisheries science to inform improved management of threatened sharks and ocean biodiversity.",https://www.globalsharkmovement.org,collaborative initiative
Global Tagging of Pelagic Predators (GTOPP),,Barbara Block,bblock at stanford.edu,"Global Tagging of Pelagic Predators (GTOPP) is an international, multidisciplinary collaboration that compiles tracking data from migratory marine species and connects them to oceanographic datasets to improve understanding of animal behavior and offer tools to improve conservation efforts.",https://gtopp.org,collaborative initiative
Global Wader,"International Wader Study Group, University of Iceland",José Alves,globalwader at waderstudygroup.org,"Global Wader is a community-led initiative aiming to provide a definitive register of all wader/shorebird tracking projects currently underway or completed. The project has three main purposes: (1) maintain an up-to-date register of all wader tracking projects currently undertaken; (2) encourage best practices in the long-term storage of tracking data, including the use of specialist repositories via a partnership with Movebank; (3) facilitate collaborations between trackers, scientists and conservationists, including promoting open access to data, and facilitating data-sharing where appropriate, particularly for efforts towards the conservation of these species.",www.globalwader.org,collaborative initiative
Great Lakes Acoustic Telemetry Observation System,Great Lakes Fishery Commission,,GLATOSWeb at GLFC.org,"The Great Lakes Acoustic Telemetry Observation System (GLATOS) is a bi-national network of researchers using acoustic telemetry to understand fish behavior and inform fisheries management, and support public engagement. GLATOS also connects acoustic telemetry researchers and their projects, and supports equipment and data sharing within the Great Lakes basin.",https://glatos.org,data platform
Machine Observations Interest Group,Taxonomic Databases Working Group & Biodiversity Information Standards (TDWG),Peggy Newman,peggydnewman at gmail.com,"This group is aims to (1) oversee Task Groups that document common approaches for data exchange formats for machine observations; (2) provide a point of contact and facilitate discussion on modelling machine observation scenarios, including bio-logging, and (3) serve as point of contact and facilitate discussion on publishing machine observations in biodiversity infrastructures like GBIF and OBIS. Currently machine observation data tend to be housed outside these infrastructures, leaving them undiscoverable and left out of the larger biodiversity record.",https://www.tdwg.org/community/mobs,data standards
Marine Megafauna Movement (MegaMove),Australian National University,Ana Sequeira,ana at megamove.org,The Marine Megafauna Movement (MegaMove) is a team of scientists who collect marine megafauna tracking data and compile these data with the aim to inform the conservation of marine megafauna.,https://megamove.org,collaborative initiative
Motus Wildlife Tracking System ,Birds Canada,Stuart Mackenzie and Catherine Jardine,,The Motus Wildlife Tracking System (Motus) is an international collaborative research network that uses coordinated automated radio telemetry to facilitate research and education on the ecology and conservation of migratory animals. Motus is a program of Birds Canada in partnership with collaborating researchers and organizations.,https://motus.org,data platform
Move BON,Group on Earth Observations Biodiversity Observation Network (GEO BON),Lacey Hughey,hugheyl at si.edu,"The Biodiversity Observation Network for Animal Movement is (Move BON) is a thematic BON, part of GEO BON. Goals of the BON are to enhance the science-policy pipeline for animal movement data, coordinate with existing initiatives, derive actionable biodiversity indices at national and global scales, and operationalize solutions for incorporating these insights into decision making.",https://geobon.org/move-bon,collaborative initiative
MoveApps,Max Planck Institute of Animal Behavior,Anne Scharf,support at moveapps.org,"MoveApps is an open analysis platform for animal tracking data. Users build workflows in a code-free, flexible environment, using open-source apps contributed by a growing community of developers. It runs on a serverless cloud computing system, allowing automated and sharable data processing worldwide. Read more in Kölzsch et al. (2022, https://doi.org/10.1186/s40462-022-00327-4).",moveapps.org,analysis tool
Movebank,Max Planck Institute of Animal Behavior,Sarah Davidson,support at movebank.org,"Movebank is an online platform helping thousands of researchers and wildlife managers worldwide to manage, share, analyze and archive animal tracking and other animal-borne sensor data. The platform includes a suite of tools and services leveraging a shared database. Data owners harmonize data from live feeds and archived files with contextual metadata, and can share data publicly or with trusted collaborators. The public can discover researchers and data, and automate downstream processes that access data. Movebank offers a formal archiving service that issues DOIs to support data sharing requirements.",www.movebank.org,data platform
Movebank Attribute Dictionary,Max Planck Institute of Animal Behavior,Sarah Davidson,sdavidson at ab.mpg.de,"The attributes used in Movebank are available as a persistent, machine-readable vocabulary, hosted on the British Oceanographic Data Centre's Natural Environment Research Council NERC Vocabulary Server at vocab.nerc.ac.uk/collection/MVB. The vocabulary has been built over time with input from hundreds of researchers and tag manufacturers, is used by initiatives, software applicatons and tag manufacturers to offer consistent, transparent data reading, processing and storage.",https://vocab.nerc.ac.uk/collection/MVB,data vocabulary
movepub R package,Research Institute for Nature and Forest (INBO),Peter Desmet,peter.desmet at inbo.be,"Movepub is an R package to prepare animal tracking data from Movebank for publication in a research repository. With movepub you can document data with metadata following the Data Package standard and transform these to Darwin Core and Ecological Metadata Language (EML) for publication to the GBIF and OBIS. Read more in van der Kolk et al. (2022, https://doi.org/10.3897/zookeys.1123.90623).",https://github.com/inbo/movepub,analysis tool
MoveTraits,Senckenberg Society for Nature Research,,movetraits at gmail.com,"The MoveTraits Initiative is a team of researchers developing standardized movement and behavioral metrics—movement traits—calculated using harmonized data and opens-source protocols, and publishing them in the MoveTraits database. The goals of the Initiative are to better integrate animal behavior into ecological research, make information contained in tracking data more accessible, and contribute to conservation policy. Read more in Beumer et al. (2025, https://doi.org/10.1111/ele.70297).",https://www.movebank.org/cms/movebank-content/movetraits,derived data product
OBIS SEAMAP,"Duke University, Marine Geospatial Ecology Lab",,https://seamap.env.duke.edu/contact-us,"The Ocean Biodiversity Information System Spatial Ecological Analysis of Megavertebrate Animal Populations (OBIS-SEAMAP) is an online database and mapping tool for tracking data from marine mammals, sea turtles, seabirds and sharks. It aims to improve understanding of the distribution and ecology of these species. It is a thematic node of OBIS and a project under IOC-UNESCO's International Oceanographic Data and Information Exchange.",https://seamap.env.duke.edu,data platform
Ocean Biodiversity Information System (OBIS),OBIS Secretariat,Ward Appeltans,w.appeltans at unesco.org,"OBIS is an international network and data infrastructure to provide access to the world’s ocean biodiversity and biogeographic data. It is a project under the Intergovernmental Oceanographic Commission (IOC) of UNESCO. OBIS accepts biologging data published in the Darwin Core standard, allowing it to be more widely discovered and used in combination with other species occurrence data.",https://obis.org,data platform
